Date;Apple;CocaCola;Google
02-28-2020;273,36;46,94;1052,32
02-27-2020;273,52;46,82;1056,98
02-26-2020;292,65;46,75;1070,84
02-25-2020;288,08;47,57;1074,00
02-24-2020;298,18;47,25;1084,56
02-21-2020;313,05;47,08;1082,63
02-20-2020;320,30;46,66;1071,15
02-19-2020;323,62;47,29;1063,78
02-18-2020;319,00;47,25;1051,53
02-14-2020;324,95;46,89;1080,05
02-13-2020;324,87;47,40;1092,38
02-12-2020;327,20;46,92;1091,80
02-11-2020;319,61;47,25;1108,35
02-10-2020;321,55;47,70;1091,51
02-07-2020;320,03;47,82;1084,93
02-06-2020;325,21;48,11;1079,47
02-05-2020;321,45;47,88;1094,00
02-04-2020;318,85;47,22;1083,00
02-03-2020;308,66;47,20;1075,15
01-31-2020;309,51;47,25;1091,00
01-30-2020;323,87;47,85;1117,33
01-29-2020;324,34;48,48;1125,00
01-28-2020;317,69;48,70;1132,80
01-27-2020;308,95;49,33;1146,85
01-24-2020;318,31;49,21;1147,00
01-23-2020;319,23;49,17;1104,84
01-22-2020;317,70;49,37;1098,91
01-21-2020;316,57;49,57;1105,94
01-17-2020;318,73;49,69;1125,30
01-16-2020;315,24;49,61;1134,73
01-15-2020;311,34;46,70;1128,23
01-14-2020;312,68;45,90;1131,67
01-13-2020;316,96;45,32;1121,89
01-10-2020;310,33;44,91;1123,41
01-09-2020;309,63;45,00;1111,94
01-08-2020;303,19;45,76;1111,24
01-07-2020;298,39;45,44;1118,54
01-06-2020;299,80;45,10;1119,51
01-03-2020;297,43;44,60;1117,98
01-02-2020;300,35;45,12;1127,65
12-31-2019;293,65;45,47;1142,97
12-30-2019;291,52;45,53;1158,28
12-27-2019;289,80;45,65;1169,61
12-26-2019;289,91;45,67;1167,57
12-24-2019;284,27;45,49;1156,76
12-23-2019;284,00;45,15;1147,08
12-20-2019;279,44;45,14;1176,19
12-19-2019;280,02;45,95;1200,00
12-18-2019;279,74;46,13;1200,93
12-17-2019;280,41;45,84;1197,88
12-16-2019;279,86;45,72;1196,57
12-13-2019;275,15;45,43;1190,00
12-12-2019;271,46;45,55;1200,00
12-11-2019;270,77;45,40;1227,14
12-10-2019;268,48;45,53;1231,79
12-09-2019;266,92;45,46;1230,00
12-06-2019;270,71;45,86;1206,40
12-05-2019;265,58;46,17;1202,83
12-04-2019;261,74;46,65;1187,56
12-03-2019;259,45;46,68;1171,56
12-02-2019;264,16;46,67;1178,99
11-29-2019;267,25;46,99;1196,66
