window_start,window_end,selected_assets,objective_value,realized_profit
0,20,"[1.0, 1.0, 0.0]",-0.0010324641100347073,0.0014177564390897618
5,25,"[1.0, 1.0, 0.0]",-0.00032067928514449757,0.0019528451210548685
10,30,"[1.0, 1.0, 0.0]",-0.0027737329168038343,0.0007855928331153478
15,35,"[1.0, 1.0, 0.0]",-0.0037897417716778624,0.0016995341596672368
20,40,"[1.0, 1.0, 0.0]",-0.0027480296857712657,0.001324065346631494
25,45,"[1.0, 1.0, 0.0]",-0.0038355363277867358,0.00102044727804986
30,50,"[1.0, 1.0, 0.0]",-0.0015015164491508338,-0.000816778838260438
35,55,"[1.0, 0.0, 1.0]",-0.003907608517396649,-0.004794616197147088
40,60,"[1.0, 1.0, 0.0]",-0.0025778069627038092,-0.0032982205321928715
45,65,"[1.0, 1.0, 0.0]",-0.0019266627909450408,-0.0026845237165419125
50,70,"[0.0, 1.0, 1.0]",0.0010636766965667031,-0.00012625125831122722
55,75,"[0.0, 1.0, 1.0]",0.0037267901874664324,0.0012600024553320235
60,80,"[0.0, 1.0, 1.0]",0.003693430887256917,0.0015290570734942774
65,85,"[0.0, 1.0, 1.0]",0.0009520039827288292,-0.0013294378059770832
70,90,"[1.0, 1.0, 0.0]",-0.0018088365309340431,0.0009640244373032349
75,95,"[1.0, 1.0, 0.0]",-0.004231723105627591,0.0001537718247923822
80,100,"[1.0, 1.0, 0.0]",-0.007899215643346289,-0.0007239069218561699
85,105,"[1.0, 1.0, 0.0]",-0.005750742781532747,-4.470388837537558e-05
90,110,"[1.0, 1.0, 0.0]",-0.001838032799502515,0.00014733672739551977
95,115,"[1.0, 1.0, 0.0]",-0.00022382961537045914,-0.0010116383914310092
100,120,"[1.0, 0.0, 1.0]",-0.00019411808262672037,-0.00013570771031788518
105,125,"[1.0, 0.0, 1.0]",-0.0032062547783424755,-0.002538218533095839
110,130,"[1.0, 1.0, 0.0]",-0.00010257840014108187,0.00018075071262532616
115,135,"[1.0, 1.0, 0.0]",0.0023236318038827803,0.001554996008964224
120,140,"[1.0, 1.0, 0.0]",-0.000575785223737247,0.000443058518174528
125,145,"[1.0, 1.0, 0.0]",0.001809279918828839,0.0002721601860815167
130,150,"[1.0, 0.0, 1.0]",-0.0007949217916889363,0.0023838577912053903
135,155,"[1.0, 1.0, 0.0]",-0.00295664877094683,0.0008178097060332793
140,160,"[1.0, 1.0, 0.0]",-0.0007367564075233588,0.0002756402843112675
145,165,"[1.0, 1.0, 0.0]",-0.0004591538379131445,0.00213666227051524
150,170,"[1.0, 0.0, 1.0]",-0.004603212640504994,0.005810314334322808
155,175,"[1.0, 0.0, 1.0]",-0.005023679492913915,0.004548463473310773
160,180,"[1.0, 0.0, 1.0]",-0.00598023425666034,0.004413862816268579
165,185,"[1.0, 0.0, 1.0]",-0.01181170049529277,0.0020224580574609618
170,190,"[1.0, 0.0, 1.0]",-0.011288305475686738,-0.0014334279742018517
175,195,"[1.0, 0.0, 1.0]",-0.008762039885895878,0.0002581980897651766
180,200,"[1.0, 0.0, 1.0]",-0.008523120884077352,0.0008414369639217694
185,205,"[1.0, 0.0, 1.0]",-0.003756823160017607,0.0005735419111699987
190,210,"[1.0, 1.0, 0.0]",2.066799487126783e-05,0.0019946202417976283
195,215,"[1.0, 0.0, 1.0]",-0.00043439458796214035,0.0006468255801146325
200,220,"[1.0, 0.0, 1.0]",-0.0015853974833756792,0.0011946746713846444
205,225,"[1.0, 1.0, 0.0]",-0.0025388174158460747,0.005055775238034943
210,230,"[1.0, 1.0, 0.0]",-0.003927674100796486,0.003724299220045422
215,235,"[1.0, 1.0, 0.0]",-0.006639517232652552,0.0030047791113556642
220,240,"[1.0, 1.0, 0.0]",-0.006321915495993362,0.0014354400931718462
225,245,"[1.0, 1.0, 0.0]",-0.00996698319200688,-0.0015746080740550606
230,250,"[1.0, 1.0, 0.0]",-0.007267921503542809,-0.004718838009433761
235,255,"[1.0, 1.0, 0.0]",-0.005744196327265542,-0.006610046166327532
240,260,"[1.0, 1.0, 0.0]",-0.002595603851996532,-0.009119376638975734
245,265,"[1.0, 0.0, 1.0]",0.0022657671206611574,-0.016396932987612765
250,270,"[0.0, 1.0, 1.0]",0.0040550957988349295,
